2015-07-08 15:06:05 - Humidity state updated to 94.00
2015-07-08 15:06:05 - Temperature state updated to 23.00
2015-07-08 15:06:08 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:06:08 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:06:08 - Window_GF_Living state updated to CLOSED
2015-07-08 15:06:08 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:06:08 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:06:08 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:06:08 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:06:08 - Window_FF_Office_Door state updated to OPEN
2015-07-08 15:06:30 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:06:30 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:06:30 - Window_GF_Living state updated to OPEN
2015-07-08 15:06:30 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:06:30 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:06:30 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:06:30 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:06:30 - Window_FF_Office_Door state updated to OPEN
2015-07-08 15:07:00 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:07:00 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:07:00 - Window_GF_Living state updated to CLOSED
2015-07-08 15:07:00 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:07:00 - Window_FF_Bath state updated to OPEN
2015-07-08 15:07:00 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:07:00 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:07:00 - Window_FF_Office_Door state updated to OPEN
2015-07-08 15:07:30 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:07:30 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:07:30 - Window_GF_Living state updated to CLOSED
2015-07-08 15:07:30 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:07:30 - Window_FF_Bath state updated to OPEN
2015-07-08 15:07:30 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:07:30 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:07:30 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:08:00 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:08:00 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:08:00 - Window_GF_Living state updated to CLOSED
2015-07-08 15:08:00 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:08:00 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:08:00 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:08:00 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:08:00 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:08:30 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:08:30 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:08:30 - Window_GF_Living state updated to OPEN
2015-07-08 15:08:30 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:08:30 - Window_FF_Bath state updated to OPEN
2015-07-08 15:08:30 - Window_FF_Bed state updated to OPEN
2015-07-08 15:08:30 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:08:30 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:09:00 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:09:00 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:09:00 - Window_GF_Living state updated to OPEN
2015-07-08 15:09:00 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:09:00 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:09:00 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:09:00 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:09:00 - Window_FF_Office_Door state updated to OPEN
2015-07-08 15:09:30 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:09:30 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:09:30 - Window_GF_Living state updated to CLOSED
2015-07-08 15:09:30 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:09:30 - Window_FF_Bath state updated to OPEN
2015-07-08 15:09:30 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:09:30 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:09:30 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:10:00 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:10:00 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:10:00 - Window_GF_Living state updated to OPEN
2015-07-08 15:10:00 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:10:00 - Window_FF_Bath state updated to OPEN
2015-07-08 15:10:00 - Window_FF_Bed state updated to CLOSED
2015-07-08 15:10:00 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:10:00 - Window_FF_Office_Door state updated to OPEN
2015-07-08 15:10:30 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:10:30 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:10:30 - Window_GF_Living state updated to OPEN
2015-07-08 15:10:30 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:10:30 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:10:30 - Window_FF_Bed state updated to OPEN
2015-07-08 15:10:30 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:10:30 - Window_FF_Office_Door state updated to OPEN
2015-07-08 15:11:00 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:11:00 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:11:00 - Window_GF_Living state updated to CLOSED
2015-07-08 15:11:00 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:11:00 - Window_FF_Bath state updated to OPEN
2015-07-08 15:11:00 - Window_FF_Bed state updated to OPEN
2015-07-08 15:11:00 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:11:00 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:11:30 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:11:30 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:11:30 - Window_GF_Living state updated to OPEN
2015-07-08 15:11:30 - Window_GF_Toilet state updated to CLOSED
2015-07-08 15:11:30 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:11:30 - Window_FF_Bed state updated to OPEN
2015-07-08 15:11:30 - Window_FF_Office_Window state updated to OPEN
2015-07-08 15:11:30 - Window_FF_Office_Door state updated to OPEN
2015-07-08 15:12:00 - Window_GF_Frontdoor state updated to CLOSED
2015-07-08 15:12:00 - Window_GF_Kitchen state updated to CLOSED
2015-07-08 15:12:00 - Window_GF_Living state updated to OPEN
2015-07-08 15:12:00 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:12:00 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:12:00 - Window_FF_Bed state updated to OPEN
2015-07-08 15:12:00 - Window_FF_Office_Window state updated to CLOSED
2015-07-08 15:12:00 - Window_FF_Office_Door state updated to CLOSED
2015-07-08 15:12:30 - Window_GF_Frontdoor state updated to OPEN
2015-07-08 15:12:30 - Window_GF_Kitchen state updated to OPEN
2015-07-08 15:12:30 - Window_GF_Living state updated to CLOSED
2015-07-08 15:12:30 - Window_GF_Toilet state updated to OPEN
2015-07-08 15:12:30 - Window_FF_Bath state updated to CLOSED
2015-07-08 15:12:30 - Window_FF_Bed state updated to CLOSED
